fish,metric,y,baseline,recovery,drug,dose
37,mean_distance_light_epoch_all,3.825e-05,0,0,1,0.05
38,mean_distance_light_epoch_all,2.586e-05,0,0,1,0.05
39,mean_distance_light_epoch_all,3.519e-05,0,0,1,0.05
40,mean_distance_light_epoch_all,2.362e-05,0,0,1,0.05
21,sum_distance_light_epoch_1,0.25382004,0,0,1,0.05
21,sum_distance_light_epoch_2,0.2298654,0,0,1,0.05
21,sum_distance_light_epoch_3,0.24721641,0,0,1,0.05
22,sum_distance_light_epoch_1,0.35504020000000003,0,0,1,0.05
22,sum_distance_light_epoch_2,0.54414154,0,0,1,0.05
22,sum_distance_light_epoch_3,0.46861205,0,0,1,0.05
23,sum_distance_light_epoch_1,0.20592597,0,0,1,0.05
23,sum_distance_light_epoch_2,0.16037456,0,0,1,0.05
23,sum_distance_light_epoch_3,0.23693497,0,0,1,0.05
24,sum_distance_light_epoch_1,0.1468122,0,0,1,0.05
24,sum_distance_light_epoch_2,0.20881433,0,0,1,0.05
24,sum_distance_light_epoch_3,0.20648545,0,0,1,0.05
25,sum_distance_light_epoch_1,0.18674739999999998,0,0,1,0.05
25,sum_distance_light_epoch_2,0.24544379,0,0,1,0.05
25,sum_distance_light_epoch_3,0.20531875,0,0,1,0.05
26,sum_distance_light_epoch_1,0.21477841,0,0,1,0.05
26,sum_distance_light_epoch_2,0.24582067,0,0,1,0.05
26,sum_distance_light_epoch_3,0.1955097,0,0,1,0.05
27,sum_distance_light_epoch_1,0.18310408,0,0,1,0.05
27,sum_distance_light_epoch_2,0.24828901,0,0,1,0.05
27,sum_distance_light_epoch_3,0.28997276,0,0,1,0.05
28,sum_distance_light_epoch_1,0.24019312,0,0,1,0.05
28,sum_distance_light_epoch_2,0.45289371,0,0,1,0.05
28,sum_distance_light_epoch_3,0.35067522,0,0,1,0.05
29,sum_distance_light_epoch_1,0.25576909,0,0,1,0.05
29,sum_distance_light_epoch_2,0.19033555,0,0,1,0.05
29,sum_distance_light_epoch_3,0.24239273,0,0,1,0.05
30,sum_distance_light_epoch_1,0.22486089,0,0,1,0.05
30,sum_distance_light_epoch_2,0.20816058,0,0,1,0.05
30,sum_distance_light_epoch_3,0.21976603,0,0,1,0.05
31,sum_distance_light_epoch_1,0.17701481,0,0,1,0.05
31,sum_distance_light_epoch_2,0.18921222,0,0,1,0.05
31,sum_distance_light_epoch_3,0.31516377,0,0,1,0.05
32,sum_distance_light_epoch_1,0.21851408,0,0,1,0.05
32,sum_distance_light_epoch_2,0.16184772,0,0,1,0.05
32,sum_distance_light_epoch_3,0.18062052,0,0,1,0.05
33,sum_distance_light_epoch_1,0.23704427,0,0,1,0.05
33,sum_distance_light_epoch_2,0.23017903,0,0,1,0.05
33,sum_distance_light_epoch_3,0.20974115,0,0,1,0.05
34,sum_distance_light_epoch_1,0.27381601,0,0,1,0.05
34,sum_distance_light_epoch_2,0.22763279,0,0,1,0.05
34,sum_distance_light_epoch_3,0.27760297,0,0,1,0.05
35,sum_distance_light_epoch_1,0.32187696,0,0,1,0.05
35,sum_distance_light_epoch_2,0.26458135,0,0,1,0.05
35,sum_distance_light_epoch_3,0.21750425,0,0,1,0.05
36,sum_distance_light_epoch_1,0.40080795,0,0,1,0.05
36,sum_distance_light_epoch_2,0.24214233,0,0,1,0.05
36,sum_distance_light_epoch_3,0.20070052,0,0,1,0.05
37,sum_distance_light_epoch_1,0.40807967,0,0,1,0.05
37,sum_distance_light_epoch_2,0.30174039,0,0,1,0.05
37,sum_distance_light_epoch_3,0.27086269,0,0,1,0.05
38,sum_distance_light_epoch_1,0.22545318,0,0,1,0.05
38,sum_distance_light_epoch_2,0.20945447,0,0,1,0.05
38,sum_distance_light_epoch_3,0.22809156,0,0,1,0.05
39,sum_distance_light_epoch_1,0.27354193,0,0,1,0.05
39,sum_distance_light_epoch_2,0.29913106,0,0,1,0.05
39,sum_distance_light_epoch_3,0.32933308,0,0,1,0.05
40,sum_distance_light_epoch_1,0.18500249,0,0,1,0.05
40,sum_distance_light_epoch_2,0.22089722,0,0,1,0.05
40,sum_distance_light_epoch_3,0.19965077,0,0,1,0.05
21,sum_distance_light_epoch_all,0.73090186,0,0,1,0.05
22,sum_distance_light_epoch_all,1.36779379,0,0,1,0.05
23,sum_distance_light_epoch_all,0.60323549,0,0,1,0.05
