fish,metric,y,dose,condition
110,max_speed_dark_epoch_all,0.13195284,50.0,baseline
111,max_speed_dark_epoch_all,0.15851524,50.0,baseline
112,max_speed_dark_epoch_all,0.1846721,50.0,baseline
113,max_speed_dark_epoch_all,0.03555862,50.0,baseline
114,max_speed_dark_epoch_all,0.06896161,50.0,baseline
115,max_speed_dark_epoch_all,0.15202099,50.0,baseline
116,max_speed_dark_epoch_all,0.0240535,50.0,baseline
117,max_speed_dark_epoch_all,0.0364534,50.0,baseline
118,max_speed_dark_epoch_all,0.05190525,50.0,baseline
119,max_speed_dark_epoch_all,0.11547521,50.0,baseline
120,max_speed_dark_epoch_all,0.02977125,50.0,baseline
101,mean_speed_dark_epoch_1,0.00174355,50.0,baseline
101,mean_speed_dark_epoch_2,0.00128207,50.0,baseline
101,mean_speed_dark_epoch_3,0.00106564,50.0,baseline
102,mean_speed_dark_epoch_1,0.00131109,50.0,baseline
102,mean_speed_dark_epoch_2,0.00134015,50.0,baseline
102,mean_speed_dark_epoch_3,0.00101345,50.0,baseline
103,mean_speed_dark_epoch_1,0.00114451,50.0,baseline
103,mean_speed_dark_epoch_2,0.00104179,50.0,baseline
103,mean_speed_dark_epoch_3,0.00115949,50.0,baseline
104,mean_speed_dark_epoch_1,0.00258667,50.0,baseline
104,mean_speed_dark_epoch_2,0.00249248,50.0,baseline
104,mean_speed_dark_epoch_3,0.0023463,50.0,baseline
105,mean_speed_dark_epoch_1,0.0024835,50.0,baseline
105,mean_speed_dark_epoch_2,0.00077427,50.0,baseline
105,mean_speed_dark_epoch_3,0.00086109,50.0,baseline
106,mean_speed_dark_epoch_1,0.00158696,50.0,baseline
106,mean_speed_dark_epoch_2,0.00140407,50.0,baseline
106,mean_speed_dark_epoch_3,0.00088464,50.0,baseline
107,mean_speed_dark_epoch_1,0.00155908,50.0,baseline
107,mean_speed_dark_epoch_2,0.00153092,50.0,baseline
107,mean_speed_dark_epoch_3,0.00156849,50.0,baseline
108,mean_speed_dark_epoch_1,0.00292279,50.0,baseline
108,mean_speed_dark_epoch_2,0.00149066,50.0,baseline
108,mean_speed_dark_epoch_3,0.00142835,50.0,baseline
109,mean_speed_dark_epoch_1,0.00148605,50.0,baseline
109,mean_speed_dark_epoch_2,0.00178403,50.0,baseline
109,mean_speed_dark_epoch_3,0.00067577,50.0,baseline
110,mean_speed_dark_epoch_1,0.00079564,50.0,baseline
110,mean_speed_dark_epoch_2,0.00128383,50.0,baseline
110,mean_speed_dark_epoch_3,0.00086883,50.0,baseline
111,mean_speed_dark_epoch_1,0.00112898,50.0,baseline
111,mean_speed_dark_epoch_2,0.00063629,50.0,baseline
111,mean_speed_dark_epoch_3,0.00088261,50.0,baseline
112,mean_speed_dark_epoch_1,0.00167396,50.0,baseline
112,mean_speed_dark_epoch_2,0.00064194,50.0,baseline
112,mean_speed_dark_epoch_3,0.00065355,50.0,baseline
113,mean_speed_dark_epoch_1,0.0007242,50.0,baseline
113,mean_speed_dark_epoch_2,0.00071624,50.0,baseline
113,mean_speed_dark_epoch_3,0.00084393,50.0,baseline
114,mean_speed_dark_epoch_1,0.00174888,50.0,baseline
114,mean_speed_dark_epoch_2,0.00114686,50.0,baseline
114,mean_speed_dark_epoch_3,0.00105961,50.0,baseline
115,mean_speed_dark_epoch_1,0.0025987,50.0,baseline
115,mean_speed_dark_epoch_2,0.00226911,50.0,baseline
115,mean_speed_dark_epoch_3,0.00205669,50.0,baseline
116,mean_speed_dark_epoch_1,0.00069819,50.0,baseline
116,mean_speed_dark_epoch_2,0.00072593,50.0,baseline
116,mean_speed_dark_epoch_3,0.00061922,50.0,baseline
117,mean_speed_dark_epoch_1,0.00101374,50.0,baseline
117,mean_speed_dark_epoch_2,0.00097162,50.0,baseline
117,mean_speed_dark_epoch_3,0.0010599,50.0,baseline
118,mean_speed_dark_epoch_1,0.00083553,50.0,baseline
118,mean_speed_dark_epoch_2,0.00065667,50.0,baseline
118,mean_speed_dark_epoch_3,0.00065629,50.0,baseline
119,mean_speed_dark_epoch_1,0.00075369,50.0,baseline
119,mean_speed_dark_epoch_2,0.00075296,50.0,baseline
119,mean_speed_dark_epoch_3,0.00106776,50.0,baseline
120,mean_speed_dark_epoch_1,0.00081594,50.0,baseline
120,mean_speed_dark_epoch_2,0.00075284,50.0,baseline
120,mean_speed_dark_epoch_3,0.00067995,50.0,baseline
101,mean_speed_dark_epoch_all,0.00136375,50.0,baseline
102,mean_speed_dark_epoch_all,0.00122156,50.0,baseline
103,mean_speed_dark_epoch_all,0.00111526,50.0,baseline
104,mean_speed_dark_epoch_all,0.00247515,50.0,baseline
105,mean_speed_dark_epoch_all,0.00137295,50.0,baseline
106,mean_speed_dark_epoch_all,0.00129189,50.0,baseline
107,mean_speed_dark_epoch_all,0.00155283,50.0,baseline
108,mean_speed_dark_epoch_all,0.00194727,50.0,baseline
109,mean_speed_dark_epoch_all,0.00131528,50.0,baseline
110,mean_speed_dark_epoch_all,0.00098277,50.0,baseline
111,mean_speed_dark_epoch_all,0.00088263,50.0,baseline
