fish,metric,y,dose,condition
75,max_speed_dark_epoch_2,0.01625793,2.5,recovery
75,max_speed_dark_epoch_3,0.01965375,2.5,recovery
76,max_speed_dark_epoch_1,0.04917759,2.5,recovery
76,max_speed_dark_epoch_2,0.02406476,2.5,recovery
76,max_speed_dark_epoch_3,0.08085567,2.5,recovery
77,max_speed_dark_epoch_1,0.05648089,2.5,recovery
77,max_speed_dark_epoch_2,0.02384758,2.5,recovery
77,max_speed_dark_epoch_3,0.0380641,2.5,recovery
78,max_speed_dark_epoch_1,0.03289248,2.5,recovery
78,max_speed_dark_epoch_2,0.03593121,2.5,recovery
78,max_speed_dark_epoch_3,0.14345878,2.5,recovery
79,max_speed_dark_epoch_1,0.04305085,2.5,recovery
79,max_speed_dark_epoch_2,0.04812745,2.5,recovery
79,max_speed_dark_epoch_3,0.04005203,2.5,recovery
80,max_speed_dark_epoch_1,0.03624457,2.5,recovery
80,max_speed_dark_epoch_2,0.03268248,2.5,recovery
80,max_speed_dark_epoch_3,0.03831558,2.5,recovery
61,max_speed_dark_epoch_all,0.12208847,2.5,recovery
62,max_speed_dark_epoch_all,0.18902533,2.5,recovery
63,max_speed_dark_epoch_all,0.08000751,2.5,recovery
64,max_speed_dark_epoch_all,0.12044638,2.5,recovery
65,max_speed_dark_epoch_all,0.03257421,2.5,recovery
66,max_speed_dark_epoch_all,0.1281721,2.5,recovery
67,max_speed_dark_epoch_all,0.12914181,2.5,recovery
69,max_speed_dark_epoch_all,0.11522718,2.5,recovery
70,max_speed_dark_epoch_all,0.08710881,2.5,recovery
71,max_speed_dark_epoch_all,0.10962206,2.5,recovery
72,max_speed_dark_epoch_all,0.13025124,2.5,recovery
73,max_speed_dark_epoch_all,0.12633827,2.5,recovery
74,max_speed_dark_epoch_all,0.03541438,2.5,recovery
75,max_speed_dark_epoch_all,0.02697731,2.5,recovery
76,max_speed_dark_epoch_all,0.08085567,2.5,recovery
77,max_speed_dark_epoch_all,0.05648089,2.5,recovery
78,max_speed_dark_epoch_all,0.14345878,2.5,recovery
79,max_speed_dark_epoch_all,0.04812745,2.5,recovery
80,max_speed_dark_epoch_all,0.03831558,2.5,recovery
61,mean_speed_dark_epoch_1,0.00227929,2.5,recovery
61,mean_speed_dark_epoch_2,0.00174426,2.5,recovery
61,mean_speed_dark_epoch_3,0.00220471,2.5,recovery
62,mean_speed_dark_epoch_1,0.00233683,2.5,recovery
62,mean_speed_dark_epoch_2,0.0023935,2.5,recovery
62,mean_speed_dark_epoch_3,0.00185106,2.5,recovery
63,mean_speed_dark_epoch_1,0.00145111,2.5,recovery
63,mean_speed_dark_epoch_2,0.00160423,2.5,recovery
63,mean_speed_dark_epoch_3,0.00175495,2.5,recovery
64,mean_speed_dark_epoch_1,0.00177996,2.5,recovery
64,mean_speed_dark_epoch_2,0.00213236,2.5,recovery
64,mean_speed_dark_epoch_3,0.00136178,2.5,recovery
65,mean_speed_dark_epoch_1,0.00100908,2.5,recovery
65,mean_speed_dark_epoch_2,0.00104235,2.5,recovery
65,mean_speed_dark_epoch_3,0.00102288,2.5,recovery
66,mean_speed_dark_epoch_1,0.0015983,2.5,recovery
66,mean_speed_dark_epoch_2,0.00117355,2.5,recovery
66,mean_speed_dark_epoch_3,0.00116557,2.5,recovery
67,mean_speed_dark_epoch_1,0.00161965,2.5,recovery
67,mean_speed_dark_epoch_2,0.00149448,2.5,recovery
67,mean_speed_dark_epoch_3,0.00105337,2.5,recovery
69,mean_speed_dark_epoch_1,0.0024944,2.5,recovery
69,mean_speed_dark_epoch_2,0.00193138,2.5,recovery
69,mean_speed_dark_epoch_3,0.00155774,2.5,recovery
70,mean_speed_dark_epoch_1,0.00122595,2.5,recovery
70,mean_speed_dark_epoch_2,0.00096707,2.5,recovery
70,mean_speed_dark_epoch_3,0.00116981,2.5,recovery
71,mean_speed_dark_epoch_1,0.0010772,2.5,recovery
71,mean_speed_dark_epoch_2,0.00111643,2.5,recovery
71,mean_speed_dark_epoch_3,0.00108024,2.5,recovery
72,mean_speed_dark_epoch_1,0.00262034,2.5,recovery
72,mean_speed_dark_epoch_2,0.00289663,2.5,recovery
72,mean_speed_dark_epoch_3,0.00180777,2.5,recovery
73,mean_speed_dark_epoch_1,0.0014681,2.5,recovery
73,mean_speed_dark_epoch_2,0.00162605,2.5,recovery
73,mean_speed_dark_epoch_3,0.00128905,2.5,recovery
74,mean_speed_dark_epoch_1,0.00082557,2.5,recovery
74,mean_speed_dark_epoch_2,0.00080806,2.5,recovery
74,mean_speed_dark_epoch_3,0.00086313,2.5,recovery
75,mean_speed_dark_epoch_1,0.00096423,2.5,recovery
75,mean_speed_dark_epoch_2,0.00088292,2.5,recovery
75,mean_speed_dark_epoch_3,0.00095088,2.5,recovery
76,mean_speed_dark_epoch_1,0.00164636,2.5,recovery
76,mean_speed_dark_epoch_2,0.0014618,2.5,recovery
76,mean_speed_dark_epoch_3,0.00139533,2.5,recovery
77,mean_speed_dark_epoch_1,0.0008275,2.5,recovery
77,mean_speed_dark_epoch_2,0.0007744,2.5,recovery
77,mean_speed_dark_epoch_3,0.00075887,2.5,recovery
78,mean_speed_dark_epoch_1,0.00131443,2.5,recovery
78,mean_speed_dark_epoch_2,0.00128791,2.5,recovery
78,mean_speed_dark_epoch_3,0.00119441,2.5,recovery
79,mean_speed_dark_epoch_1,0.00207124,2.5,recovery
79,mean_speed_dark_epoch_2,0.00209667,2.5,recovery
79,mean_speed_dark_epoch_3,0.00184984,2.5,recovery
80,mean_speed_dark_epoch_1,0.00132719,2.5,recovery
80,mean_speed_dark_epoch_2,0.00126001,2.5,recovery
80,mean_speed_dark_epoch_3,0.00128389,2.5,recovery
61,mean_speed_dark_epoch_all,0.00207609,2.5,recovery
62,mean_speed_dark_epoch_all,0.0021938,2.5,recovery
63,mean_speed_dark_epoch_all,0.00160343,2.5,recovery
64,mean_speed_dark_epoch_all,0.00175803,2.5,recovery
65,mean_speed_dark_epoch_all,0.00102477,2.5,recovery
66,mean_speed_dark_epoch_all,0.00131247,2.5,recovery
67,mean_speed_dark_epoch_all,0.00138917,2.5,recovery
69,mean_speed_dark_epoch_all,0.00199451,2.5,recovery
70,mean_speed_dark_epoch_all,0.00112095,2.5,recovery
71,mean_speed_dark_epoch_all,0.00109129,2.5,recovery
72,mean_speed_dark_epoch_all,0.00244158,2.5,recovery
73,mean_speed_dark_epoch_all,0.00146107,2.5,recovery
74,mean_speed_dark_epoch_all,0.00083226,2.5,recovery
75,mean_speed_dark_epoch_all,0.00093268,2.5,recovery
